question,label

그럼 서천 양 꼬치 식당 추천해 줘,O S-LOCATION B-RESTAURANT E-RESTAURANT O O O
그럼 평택 국수 식당 어디 있냐,O S-LOCATION S-RESTAURANT O O O
그럼 청양 파스타 식당 추천해 주라,O S-LOCATION S-RESTAURANT O O O
그럼 원주 알밥 식당 알려주세요,O S-LOCATION S-RESTAURANT O O
그럼 장성 규카츠 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그럼 평창 볶음밥 식당 알려주세요,O S-LOCATION S-RESTAURANT O O
그럼 보성 매운탕 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그럼 부여 오징어 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그럼 서산 과자 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그럼 금산 국수 식당 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그럼 단양 돼지 갈비 식당 알려줄래,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
그럼 예산 샐러드 식당 알려주세요,O S-LOCATION S-RESTAURANT O O
그럼 경산 파전 식당 추천해 주세요,O S-LOCATION S-RESTAURANT O O O
그럼 임실 볶음밥 식당 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그럼 경산 샤브샤브 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그럼 영월 햄버거 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그럼 홍성 해장국 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그럼 공주 콩나물 국밥 식당 알려주라,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
그럼 통영 비빔국수 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그럼 평창 갈비 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그럼 함양 후라이드 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그럼 김천 순대 식당 알려줄래,O S-LOCATION S-RESTAURANT O O
그럼 부여 아구찜 식당 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그럼 장성 빙수 식당 알려줄래,O S-LOCATION S-RESTAURANT O O
그럼 예천 튀김 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그럼 구리 목살 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그럼 함안 족발 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그럼 곡성 떡볶이 식당 추천해 주라,O S-LOCATION S-RESTAURANT O O O
그러면 서천 양 꼬치 식당 추천해 줘,O S-LOCATION B-RESTAURANT E-RESTAURANT O O O
그러면 평택 국수 식당 어디 있냐,O S-LOCATION S-RESTAURANT O O O
그러면 청양 파스타 식당 추천해 주라,O S-LOCATION S-RESTAURANT O O O
그러면 원주 알밥 식당 알려주세요,O S-LOCATION S-RESTAURANT O O
그러면 장성 규카츠 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그러면 평창 볶음밥 식당 알려주세요,O S-LOCATION S-RESTAURANT O O
그러면 보성 매운탕 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그러면 부여 오징어 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그러면 서산 과자 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그러면 금산 국수 식당 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그러면 단양 돼지 갈비 식당 알려줄래,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
그러면 예산 샐러드 식당 알려주세요,O S-LOCATION S-RESTAURANT O O
그러면 경산 파전 식당 추천해 주세요,O S-LOCATION S-RESTAURANT O O O
그러면 임실 볶음밥 식당 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그러면 경산 샤브샤브 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그러면 영월 햄버거 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그러면 홍성 해장국 식당 어디 있니,O S-LOCATION S-RESTAURANT O O O
그러면 공주 콩나물 국밥 식당 알려주라,O S-LOCATION B-RESTAURANT E-RESTAURANT O O
그러면 통영 비빔국수 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그러면 평창 갈비 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그러면 함양 후라이드 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그러면 김천 순대 식당 알려줄래,O S-LOCATION S-RESTAURANT O O
그러면 부여 아구찜 식당 추천해 줘,O S-LOCATION S-RESTAURANT O O O
그러면 장성 빙수 식당 알려줄래,O S-LOCATION S-RESTAURANT O O
그러면 예천 튀김 식당 알려주라,O S-LOCATION S-RESTAURANT O O
그러면 구리 목살 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그러면 함안 족발 식당 알고싶어,O S-LOCATION S-RESTAURANT O O
그러면 곡성 떡볶이 식당 추천해 주라,O S-LOCATION S-RESTAURANT O O O
문경 볶음밥 추천해 주라,S-LOCATION S-RESTAURANT O O
속초 찜닭 추천해 줘,S-LOCATION S-RESTAURANT O O
김해 폭립 알고싶어,S-LOCATION S-RESTAURANT O
담양 후라이드 알고싶어,S-LOCATION S-RESTAURANT O
곡성 순대 알려줘,S-LOCATION S-RESTAURANT O
순천 보쌈 알려줄래,S-LOCATION S-RESTAURANT O
아산 해장국 어디 있냐,S-LOCATION S-RESTAURANT O O
고흥 소시지 알려주라,S-LOCATION S-RESTAURANT O
거제 튀김 어디 있니,S-LOCATION S-RESTAURANT O O
동해 양 고치 추천해 주세요,S-LOCATION B-RESTAURANT E-RESTAURANT O O
용산 쌀국수 알려줄래,S-LOCATION S-RESTAURANT O
포항 폭립 알려줘,S-LOCATION S-RESTAURANT O
순창 과자 알려주세요,S-LOCATION S-RESTAURANT O
고창 분식 어디 있니,S-LOCATION S-RESTAURANT O O
안양 분식 어디 있니,S-LOCATION S-RESTAURANT O O
공주 새우 알고싶어,S-LOCATION S-RESTAURANT O
원주 볶음밥 추천해 주라,S-LOCATION S-RESTAURANT O O
전주 비빔냉면 알고싶어,S-LOCATION S-RESTAURANT O
영양 짬뽕 알려줄래,S-LOCATION S-RESTAURANT O
충주 팥빙수 알려주라,S-LOCATION S-RESTAURANT O
파주 김치 어디 있니,S-LOCATION S-RESTAURANT O O
김제 뼈 해장국 알려줘,S-LOCATION B-RESTAURANT E-RESTAURANT O
여수 새우 튀김 알려주라,S-LOCATION B-RESTAURANT E-RESTAURANT O
통영 뚝배기 어디 있니,S-LOCATION S-RESTAURANT O O
김해 샐러드 추천해 주라,S-LOCATION S-RESTAURANT O O
양주 비빔밥 알려주라,S-LOCATION S-RESTAURANT O
부여 갈비 추천해 주라,S-LOCATION S-RESTAURANT O O
사천 호두과자 추천해 주라,S-LOCATION S-RESTAURANT O O
부안 스시 어디 있니,S-LOCATION S-RESTAURANT O O
거제 김밥 어디 있냐,S-LOCATION S-RESTAURANT O O
고창 홍어 어디 있냐,S-LOCATION S-RESTAURANT O O
단양 쌀국수 알려줘,S-LOCATION S-RESTAURANT O
성주 튀김 알려줄래,S-LOCATION S-RESTAURANT O
여주 아이스크림 추천해 주세요,S-LOCATION S-RESTAURANT O O
군산 월남쌈 추천해 주세요,S-LOCATION S-RESTAURANT O O
고양 과자 알려줄래,S-LOCATION S-RESTAURANT O
신안 냉면 추천해 주세요,S-LOCATION S-RESTAURANT O O
